,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other,Total
Apr-2001,164850,64350,115840,9920,37140,2590,5960,4430,320,405380
May-2001,139860,49100,98830,5620,26230,1250,5690,3020,590,330180
Jun-2001,142210,48880,133220,6520,29530,1490,5400,2450,310,370020
Jul-2001,173030,74260,139450,11710,33050,1780,8220,5360,10,446880
Aug-2001,154450,53730,125410,6930,31960,1490,6660,3890,80,384590
Sep-2001,142230,53640,114220,7850,35580,1810,7200,3600,170,366290
Oct-2001,149080,67080,102350,9310,38230,2480,7060,2890,0,378470
Nov-2001,154330,66640,97160,9240,37840,3140,4910,2920,10,376190
Dec-2001,224380,91620,124000,13860,55710,5090,4120,4390,30,523190
Jan-2002,158330,71520,90590,9260,36020,5090,4520,3950,10,379290
Feb-2002,179990,84480,102480,11830,43230,5620,4720,4890,0,437240
Mar-2002,182270,82000,112280,11090,46040,3230,5120,4320,140,446500
Apr-2002,152000,59230,98320,7400,32980,1540,4800,4010,20,360310
May-2002,133540,53780,97660,5850,30000,1340,4790,2970,10,329950
Jun-2002,126950,49000,117080,5340,30660,1800,5340,3220,10,339390
Jul-2002,162930,66780,131800,10220,33600,1300,6430,4920,170,418160
Aug-2002,146170,55000,119760,8140,31970,1370,6710,2810,10,371940
Sep-2002,137380,58250,110640,6940,34740,1270,6420,2900,30,358570
Oct-2002,173850,71010,120690,8450,42900,2200,5500,4270,10,428860
Nov-2002,170310,71640,122380,12220,48100,3190,5620,3500,60,437020
Dec-2002,217700,96260,130670,15050,60280,5590,3860,4550,0,533970
Jan-2003,163840,70800,103470,9160,38610,3590,3060,4100,20,396650
Feb-2003,173750,83700,101110,11400,43520,5490,3700,4820,0,427480
Mar-2003,158770,74060,97870,10500,40680,3160,3690,3700,30,392470
Apr-2003,129290,51400,91830,7640,32710,2440,2820,3390,0,321510
May-2003,102650,40130,79590,5220,24990,1440,4620,2260,10,260900
Jun-2003,116150,49120,99630,6110,28450,1450,4470,2840,40,308270
Jul-2003,163600,63160,131360,10140,35980,1310,5390,4560,0,415510
Aug-2003,138100,52890,121170,7880,32510,1580,5060,3040,0,362250
Sep-2003,147840,57630,119910,8510,41130,2220,5000,3360,0,385600
Oct-2003,167670,73630,123400,9900,48570,2360,4790,4910,110,435330
Nov-2003,195020,83350,127950,10310,44670,3810,3780,4270,130,473280
Dec-2003,229690,104110,142290,15220,59430,5970,3840,5670,380,566600
Jan-2004,165800,74140,117420,10870,39680,4390,3310,4550,10,420170
Feb-2004,183590,86430,113410,12730,43010,6580,3380,5690,0,454820
Mar-2004,168630,83340,114230,12000,43070,3520,3180,4290,30,432280
Apr-2004,157720,69800,115940,10770,38390,2240,3060,4870,0,402790
May-2004,134780,55640,106560,7090,27610,1390,4750,3430,0,341260
Jun-2004,133860,59830,127730,5910,29430,1450,5310,3740,0,367280
Jul-2004,171830,77410,158110,11090,35550,1900,6530,5140,0,467550
Aug-2004,153030,61030,137040,7960,32460,1460,6810,3260,0,403060
Sep-2004,143770,60610,132640,8490,35660,1770,6850,3730,0,393510
Oct-2004,170030,77520,136120,10220,41830,2170,5900,3580,0,447380
Nov-2004,184890,88740,134390,10440,48850,3250,4090,3370,0,478020
Dec-2004,235480,108300,153380,17510,62440,5410,3210,5660,0,591390
Jan-2005,193910,83440,118720,10600,39560,3170,3630,3860,20,456920
Feb-2005,201750,99010,123730,13190,48760,4520,2880,4950,0,498780
Mar-2005,201640,94600,130010,13270,52030,3260,3150,4120,0,502090
Apr-2005,163380,69920,117000,9840,36660,2240,3330,4210,0,406580
May-2005,134080,58870,108240,8210,31850,1470,5840,2720,10,351290
Jun-2005,141600,58530,128540,7020,32700,1240,4450,2940,0,377010
Jul-2005,189340,78380,169640,11510,35660,2210,6370,3940,0,497040
Aug-2005,162740,66630,147330,8320,33420,1320,6510,2990,10,429260
Sep-2005,155720,61210,134860,9950,38770,1760,5880,3910,10,412070
Oct-2005,175440,82660,136840,10260,45460,2430,5040,3740,0,461870
Nov-2005,184280,89110,129270,10440,46470,3250,4200,3630,10,470670
Dec-2005,237650,113550,151570,17360,64430,5210,4330,5150,0,599250
Jan-2006,183220,89970,121930,10990,43620,4470,3530,3660,10,461400
Feb-2006,199280,94720,116970,15080,46290,4970,2800,4890,0,485000
Mar-2006,186520,94890,121600,14640,44130,4050,3770,3850,0,473440
Apr-2006,174950,76970,120540,11570,40270,2670,4590,3470,0,435040
May-2006,131030,59980,106050,8520,28130,1350,5210,2660,0,342940
Jun-2006,139550,61530,130580,8360,29850,1730,4510,3550,0,379660
Jul-2006,180390,75910,159900,12250,35510,2090,7270,4880,0,478190
Aug-2006,153620,65270,136790,10430,31820,1960,7400,2910,0,410200
Sep-2006,155370,69370,143670,10010,34090,1820,5530,3590,10,423460
Oct-2006,184600,81860,134380,11500,48050,3230,5440,3840,30,472930
Nov-2006,194160,89920,131770,12600,48530,3340,4440,5220,10,489990
Dec-2006,250830,128030,152070,21490,74350,5480,3300,5300,20,640870
Jan-2007,184170,86480,112290,13340,43150,4080,3210,4280,30,451030
Feb-2007,207050,101570,120330,16070,51400,5300,3570,4890,10,510170
Mar-2007,207800,102970,125380,21450,50500,3960,3790,4180,0,520020
Apr-2007,174790,77330,116730,12230,43550,2090,4250,3980,0,434940
May-2007,139620,66720,106120,8210,32990,1560,6620,2900,0,364730
Jun-2007,146460,70080,131890,7920,32460,1670,4700,2780,0,397960
Jul-2007,181440,78660,153830,13710,38730,2150,8670,5600,0,482790
Aug-2007,163070,70250,139900,9890,38250,1610,7800,3980,0,434750
Sep-2007,161210,66300,140060,11610,41810,2180,6760,4170,10,434110
Oct-2007,175810,82560,135910,13170,47830,2130,6780,4650,0,468840
Nov-2007,196010,93610,130630,14000,51610,3060,5160,5130,0,499210
Dec-2007,243200,116900,148830,19530,70380,4800,5150,5950,90,614830
Jan-2008,182160,85100,105440,13560,42640,3670,3770,4250,30,440630
Feb-2008,226880,107130,126730,16920,53600,5600,3600,5930,30,546410
Mar-2008,204300,102600,122080,16830,54880,3780,4070,5150,20,513720
Apr-2008,166570,81270,110660,12590,42240,2530,4550,3900,0,424310
May-2008,144200,69490,112620,8510,33020,1990,6990,3220,0,380020
Jun-2008,138310,66120,117720,9520,35090,1800,10130,3770,0,382460
Jul-2008,217450,90180,149300,13650,40220,2030,11190,6430,10,530450
Aug-2008,158180,67240,131570,12400,34770,2180,7820,4600,0,418750
Sep-2008,146090,67740,123350,10370,39330,1920,7440,3770,0,400010
Oct-2008,166460,80090,139450,12190,44770,2340,5810,4630,0,455740
Nov-2008,178360,93140,120880,13150,48730,3380,6960,5730,10,470350
Dec-2008,241970,124840,141350,18170,68970,5840,5150,5520,0,611800
Jan-2009,181760,90440,105990,13370,47110,4570,3880,4780,0,451880
Feb-2009,203630,105170,107680,16660,52590,5000,4110,6920,0,501770
Mar-2009,190670,102640,112120,15210,53130,4580,3860,4610,10,486840
Apr-2009,177100,88290,116040,11870,46780,3130,5290,4340,0,452830
May-2009,136490,70830,105920,9380,37780,1970,7000,3560,10,372920
Jun-2009,128640,66130,108070,9270,37710,1650,6930,3880,10,362280
Jul-2009,164190,82930,135840,14230,41910,1840,12080,5940,0,458960
Aug-2009,156840,71940,123710,9460,37590,1890,7360,4360,0,413160
Sep-2009,157060,76720,128250,12500,48360,2370,7490,4540,0,437290
Oct-2009,183700,90440,138330,12310,46880,2720,6250,4200,0,484820
Nov-2009,181810,96670,124050,14130,55210,2880,5310,5170,10,485250
Dec-2009,259890,139620,142670,20110,70670,5630,4970,5800,0,649360
Jan-2010,184810,93510,99120,12670,45680,3610,3920,5400,0,448710
Feb-2010,224490,122730,122950,17400,54970,5620,4640,7320,0,560130
Mar-2010,204450,112440,120730,17700,57020,4300,4030,5660,0,526330
Apr-2010,165850,85570,106910,13910,45310,2190,5010,4120,10,428900
May-2010,144250,75900,96990,9780,36720,1920,5750,3630,20,374960
Jun-2010,144480,79790,117670,10340,39580,1930,5770,4130,0,403700
Jul-2010,182360,99920,154640,14590,42390,2430,8320,6270,10,510930
Aug-2010,166860,86850,131470,10270,40130,1610,8960,5140,10,451310
Sep-2010,173780,93410,132320,11820,51750,2250,6400,3960,0,475680
Oct-2010,184540,103230,130130,12260,50220,2810,5790,5490,0,494460
Nov-2010,194320,113810,126890,14060,56440,3450,4460,4670,0,518090
Dec-2010,265450,152220,147690,20140,76360,6100,4650,5750,0,678360
Jan-2011,196020,107630,96150,13210,48600,4380,3690,4100,0,473780
Feb-2011,225040,132050,111790,17940,61160,5910,4430,6830,0,565140
Mar-2011,196410,116170,102840,15560,55360,3360,5450,4940,10,500100
Apr-2011,175120,97950,107820,15090,51890,2870,5090,4500,0,460320
May-2011,141050,83580,100180,8570,39160,2000,6300,3670,0,384520
Jun-2011,137620,82930,106370,9370,39800,1670,5700,4210,20,387680
Jul-2011,175730,100140,151580,13340,45430,2020,11000,6390,0,505640
Aug-2011,168820,94720,133510,10710,46720,1630,7030,3880,0,467010
Sep-2011,161770,83270,113180,11590,48250,2020,5730,5240,0,431040
Oct-2011,189450,102540,130510,12530,51200,2880,5480,4930,0,499530
Nov-2011,195730,118920,118370,13310,60330,4240,5020,6830,0,522760
Dec-2011,261820,155980,145190,20540,72770,7380,3840,7260,20,674790
Jan-2012,193270,117370,107970,16600,53640,4260,4060,4820,0,501990
Feb-2012,220150,133920,111560,18950,62100,5730,5250,8100,0,565750
Mar-2012,208720,125040,119580,16080,60270,3780,5270,5080,0,543830
Apr-2012,174500,101560,109590,13990,52470,2520,5690,4760,0,465100
May-2012,143040,87470,99980,8720,41660,2370,6530,3670,0,393430
Jun-2012,144940,84970,122310,10220,43730,2400,7620,4340,0,420510
Jul-2012,169360,103120,147630,14090,45810,2220,11040,6590,0,499860
Aug-2012,176510,104180,139920,11700,49540,2320,9380,5180,0,498740
Sep-2012,162790,94080,137780,12420,52880,2170,7330,6030,0,475470
Oct-2012,188560,110700,136660,13310,55440,2890,7760,5690,10,521010
Nov-2012,205910,125790,131390,17190,63340,3690,7300,5500,0,560100
Dec-2012,273250,169900,153780,25640,78660,6910,5250,7920,20,721320
Jan-2013,188870,111750,102450,15230,55130,4760,4800,5690,0,488670
Feb-2013,238430,146410,128250,19840,63900,7270,4710,8170,0,616970
Mar-2013,220950,139930,127570,18750,65890,4540,6220,5010,0,588870
Apr-2013,176770,100110,103840,13660,50830,2710,9190,4420,0,461540
May-2013,154600,90680,100580,10070,44580,2340,6330,4160,0,413330
Jun-2013,161070,93300,123830,9860,46090,1620,7240,4510,0,447520
Jul-2013,188040,109520,154760,14400,46770,2250,7940,7240,0,530910
Aug-2013,190370,112650,142020,13140,53620,2030,10720,4780,10,529350
Sep-2013,180970,103720,126130,13340,54410,2140,7780,5410,0,493890
Oct-2013,205820,112370,137040,15150,57510,3020,6490,5350,0,542760
Nov-2013,223960,133040,124010,20150,63200,3920,4700,5140,0,578130
Dec-2013,308030,189170,155140,27700,89800,7460,4760,7690,10,789760
Jan-2014,225950,132120,110450,19380,59800,4900,4530,5370,0,562510
Feb-2014,261470,145940,121480,22870,67450,5590,4550,8280,0,637630
Mar-2014,237870,141520,121090,20610,65920,3760,5480,4560,10,600820
Apr-2014,203490,116160,114320,17090,59140,3230,10830,4280,10,528560
May-2014,180320,111450,105520,14050,48140,2270,6760,4360,0,472880
Jun-2014,166080,101000,114400,13300,49330,1500,8070,4220,0,457900
Jul-2014,201340,134700,158600,17500,56760,2210,12140,6390,10,589650
Aug-2014,194120,116810,147500,14320,50660,2140,10350,5000,0,540910
Sep-2014,188280,110730,132020,15180,60000,1930,8580,5030,0,521750
Oct-2014,210560,132110,145290,17470,62420,3800,8490,6520,20,586680
Nov-2014,233180,145420,127140,17980,67350,6020,7680,6390,80,611230
Dec-2014,314940,195610,162020,27970,88740,9010,4480,9040,30,811830
Jan-2015,214350,137520,106810,18480,55370,4960,3960,5980,0,547430
Feb-2015,281790,189010,136820,25260,71600,7060,5250,9270,0,726060
Mar-2015,265090,172420,133500,21430,69950,4780,5540,6520,20,679270
Apr-2015,206130,129150,118720,17510,59800,2950,11090,4800,0,550150
May-2015,185950,114570,111290,12420,49060,2400,5690,4260,10,485660
Jun-2015,171900,113940,120410,10270,50790,2310,13620,4910,0,488150
Jul-2015,214220,140420,174460,16930,58880,3320,12130,7900,0,628270
Aug-2015,213400,129560,146490,13730,55360,2640,8210,4740,20,574140
Sep-2015,204230,130300,146070,13790,62750,2910,6980,4980,0,571990
Oct-2015,226460,152620,151540,15970,62470,3950,6690,6100,0,625800
Nov-2015,251080,169380,141970,17850,73050,6060,5830,6320,10,671540
